id,X,T,D,U,P,L,H,A,Y
237,1,1,1,0,1,1,1,1,1
238,2,0,0,0,0,0,0,1,0
239,2,0,0,0,0,0,0,0,0
240,1,1,0,1,1,1,1,1,1
241,0,1,1,0,1,1,0,1,1
242,2,1,2,1,2,1,1,2,1
243,1,0,0,0,0,1,0,0,0
244,3,1,1,2,0,1,1,0,1
245,2,1,2,1,1,1,1,0,1
246,2,1,1,1,1,1,0,0,1
247,2,2,2,1,1,2,1,1,2
248,1,1,1,1,1,1,1,1,1
249,1,1,1,0,1,1,1,0,1
250,1,2,2,2,2,2,2,1,2
251,2,2,1,1,1,2,2,1,2
252,1,1,1,1,1,0,0,1,2
253,0,0,0,0,1,0,0,0,0
254,0,1,1,0,1,1,1,1,1
255,0,1,0,0,1,0,0,0,0
256,0,0,0,0,0,0,0,0,1
257,1,1,1,1,1,1,0,1,1
258,1,0,0,0,0,1,0,0,1
259,0,1,0,1,1,0,1,1,1
260,1,2,1,2,2,2,1,1,2
261,2,0,1,1,0,1,0,0,1
262,1,0,1,1,0,0,1,0,1
263,3,2,2,2,1,1,1,1,2
264,2,0,0,0,0,0,0,0,0
265,0,2,1,1,2,2,2,2,1
266,3,1,1,1,0,0,1,1,1
267,3,1,1,1,0,1,2,1,1
268,3,0,0,0,0,0,0,0,1
269,0,2,1,1,2,1,2,2,1
270,3,0,1,0,0,0,0,0,1
271,2,2,2,2,2,2,2,1,2
272,3,1,2,1,1,1,1,1,1
273,2,1,1,1,1,1,1,1,1
274,2,0,0,0,0,0,0,0,1
275,1,0,0,0,0,0,0,0,0
276,3,0,0,0,0,0,1,0,0
277,3,0,1,0,0,0,0,0,1
278,2,0,1,0,0,0,0,0,0
279,1,1,0,1,1,1,0,1,0
280,2,2,2,2,2,1,2,2,2
281,2,1,1,1,1,1,1,0,1
282,0,2,1,1,2,1,2,1,2
283,0,2,1,2,2,2,2,2,2
284,1,0,0,0,0,0,0,0,0
285,2,1,1,0,0,0,0,1,1
286,0,1,0,0,1,0,1,0,1
287,1,0,0,1,0,0,0,0,0
288,0,1,0,1,1,0,0,1,0
289,3,1,1,1,1,1,1,1,1
290,2,0,0,1,0,0,1,0,0
291,1,2,1,1,1,2,1,2,1
292,3,0,1,0,0,0,0,1,1
293,3,0,1,0,0,0,0,1,1
294,1,2,1,1,2,2,1,2,2
295,3,1,1,2,1,1,1,1,1
296,3,1,2,1,1,1,2,1,2
297,3,0,2,1,0,0,0,0,1
298,2,0,1,0,0,1,0,0,0
299,3,1,1,1,1,1,1,1,1
300,0,1,1,0,1,1,0,1,1
301,0,1,1,1,1,1,0,1,1
302,3,1,1,1,0,1,1,1,1
303,1,0,0,1,0,0,0,1,0
304,1,2,2,1,2,1,2,2,1
305,2,0,1,0,0,1,0,0,1
306,1,1,0,0,1,1,0,1,1
307,2,0,1,0,0,0,0,0,1
308,3,2,2,2,1,1,1,2,2
309,3,1,2,2,1,0,1,2,1
310,0,1,0,0,1,1,1,2,0
311,3,1,2,1,1,1,1,1,2
312,2,1,1,1,1,1,1,1,1
313,2,2,1,2,2,2,2,2,1
314,0,1,1,1,1,1,1,0,1
315,3,1,2,1,1,0,1,1,1
316,1,0,1,0,0,0,0,0,1
317,3,1,2,1,2,1,0,0,1
318,0,2,0,1,2,1,2,1,1
319,0,1,0,1,1,1,2,1,1
320,3,1,1,1,1,1,0,1,2
321,2,1,1,1,0,1,1,1,1
322,1,0,0,0,0,0,0,0,0
323,3,1,2,1,2,2,1,1,1
324,3,0,1,1,0,1,0,0,1
325,0,0,0,0,0,1,0,0,0
326,2,1,0,1,1,1,1,1,1
327,3,0,1,1,1,0,0,0,1
328,2,0,0,0,0,0,1,0,0
329,2,1,2,0,1,2,1,1,1
330,2,1,2,1,1,1,1,1,1
331,2,1,0,1,0,1,1,1,1
332,1,0,0,0,0,1,0,1,0
333,0,0,0,0,0,0,0,1,0
334,1,0,0,0,1,0,0,1,0
335,2,0,0,1,0,1,0,1,1
336,3,1,2,2,1,0,1,2,1
337,3,0,1,2,0,0,1,0,1
338,0,1,0,0,1,1,1,1,0
339,0,2,2,1,2,1,1,1,1
340,3,2,2,2,2,2,2,2,2
341,2,2,2,2,2,2,2,2,2
342,3,2,2,2,2,1,2,1,2
343,3,1,1,2,1,1,1,1,1
344,1,1,0,1,0,1,1,1,1
345,3,0,1,1,0,0,0,0,1
346,2,1,1,1,2,1,0,0,1
347,2,0,0,0,1,0,0,0,0
348,1,1,0,1,1,0,1,1,0
349,1,1,0,1,1,1,1,1,1
350,1,2,1,2,2,1,2,2,1
351,2,2,2,1,2,2,2,2,1
352,2,1,2,1,1,1,0,0,2
353,0,1,0,0,1,1,1,1,1
354,0,1,1,1,2,1,0,1,1
355,0,0,0,0,0,1,0,0,0
356,1,0,1,1,0,0,0,0,1
357,2,1,1,0,1,0,1,1,1
358,3,1,2,1,1,1,1,0,1
359,3,1,1,1,1,1,1,1,1
360,1,2,0,1,2,1,2,1,1
361,2,0,1,1,1,0,1,0,0
362,2,2,1,2,1,2,1,1,2
363,3,0,0,1,0,1,0,0,0
364,1,2,2,1,2,2,2,1,2
365,2,0,0,0,0,1,0,1,1
366,0,1,0,0,0,0,1,1,0
367,1,1,1,1,1,1,1,0,1
368,3,0,1,0,1,0,0,0,0
369,1,0,1,0,0,0,0,0,0
370,0,1,0,0,1,0,1,1,1
371,3,1,1,1,2,1,1,1,1
372,1,2,2,1,2,2,2,1,2
373,1,1,1,1,1,1,1,1,1
374,3,1,1,2,1,0,1,1,2
375,1,2,2,2,2,2,2,1,2
376,1,0,0,1,0,0,0,0,0
377,0,1,1,0,1,1,1,1,0
378,3,2,1,2,2,2,2,2,2
379,0,1,1,1,1,1,0,2,1
380,2,0,0,1,0,0,1,0,1
381,0,1,0,1,1,1,1,1,1
382,3,1,2,2,1,2,1,1,2
383,2,2,2,0,1,1,2,2,2
384,2,2,2,2,2,2,2,2,2
385,1,1,1,1,1,1,2,0,1
386,1,2,2,1,1,1,1,1,2
387,3,0,0,2,0,0,1,0,1
388,3,2,1,2,2,1,1,2,2
389,1,0,1,0,0,0,0,0,1
390,0,1,1,0,1,2,1,1,1
391,0,1,1,1,1,1,0,0,0
392,1,2,1,1,2,2,1,1,1
393,1,1,2,1,1,1,1,1,1
394,1,1,0,1,1,1,1,1,0
395,3,1,2,1,1,2,1,1,2
396,1,1,0,0,1,1,0,1,0
397,3,1,0,1,1,1,0,1,1
398,0,2,1,1,2,1,2,1,1
399,1,1,1,0,1,1,1,1,1
400,0,1,0,0,1,0,1,1,1
401,0,2,2,1,2,2,2,2,1
402,2,2,1,2,1,2,2,2,2
403,0,1,1,1,0,1,1,1,1
404,1,1,1,0,0,1,1,2,1
405,2,0,0,0,0,0,1,0,0
406,3,1,2,2,1,1,0,0,2
407,2,1,1,1,1,1,1,2,1
408,2,0,1,0,0,0,0,0,1
409,1,2,1,2,1,2,2,2,2
410,3,1,2,1,1,1,1,0,2
411,0,0,0,0,0,0,0,0,0
412,2,0,1,1,0,0,0,1,0
413,0,0,0,0,0,0,0,0,0
414,2,0,1,1,0,0,1,0,1
415,1,1,0,1,1,0,0,0,1
416,1,0,1,0,0,0,0,0,0
417,1,1,1,1,2,1,1,1,1
418,3,1,2,2,1,2,1,1,1
419,3,1,0,1,1,1,1,1,1
420,1,1,0,1,0,1,1,0,1
421,2,1,0,1,1,1,2,1,1
422,0,1,0,1,1,1,1,0,1
423,3,1,1,1,2,1,1,1,1
424,3,2,2,2,2,2,2,1,2
425,1,1,1,1,1,0,0,0,1
426,2,0,1,1,0,0,0,0,1
427,2,0,1,1,0,0,0,0,1
428,3,1,1,1,1,1,1,1,1
429,0,2,1,1,2,2,2,1,1
430,2,1,0,1,1,0,1,1,1
431,3,1,1,1,1,1,1,1,1
432,2,2,2,2,2,1,2,1,2
433,2,0,0,0,0,0,0,1,0
434,0,2,2,0,1,2,2,2,1
435,3,0,0,2,1,0,0,0,1
436,0,1,0,0,1,0,1,1,1
437,1,1,1,0,1,1,1,1,1
438,2,0,1,1,0,1,0,0,1
439,1,1,1,2,1,2,1,0,1
440,2,0,0,1,0,0,0,0,1
441,2,0,0,1,0,0,0,0,1
442,0,1,1,1,1,1,1,0,1
443,0,2,1,1,2,2,2,2,1
444,3,1,2,1,1,1,2,0,1
445,3,2,2,2,2,2,2,2,2
446,0,2,1,1,2,2,2,2,1
447,2,1,1,2,1,1,0,1,2
448,2,1,1,0,1,1,2,1,1
449,2,2,1,2,1,1,1,2,2
450,0,0,0,0,0,0,0,0,0
451,2,0,1,1,0,0,0,0,1
452,2,1,1,2,1,0,1,1,2
453,3,2,2,2,2,2,2,2,2
454,1,1,0,1,1,1,1,2,1
455,1,1,0,2,1,1,0,1,1
456,0,0,0,1,1,0,1,0,0
457,0,0,0,0,0,0,1,0,0
458,0,1,0,1,1,1,1,1,0
459,1,0,0,0,0,0,0,0,0
460,0,0,0,0,1,1,0,0,0
461,2,2,2,2,2,2,1,1,2
462,0,2,1,0,1,2,2,1,1
463,2,0,0,0,0,1,0,0,0
464,2,1,0,1,1,1,1,0,1
465,1,0,1,1,0,0,0,0,0
466,1,1,2,0,1,1,1,1,1
467,3,0,1,0,0,1,0,0,1
468,3,1,1,1,2,1,1,0,1
469,1,1,1,0,1,1,1,1,1
470,3,1,1,2,1,0,1,1,2
471,0,0,0,0,1,0,1,0,0
472,3,2,2,2,2,2,2,1,2
473,1,2,1,1,2,1,2,2,2
474,2,1,1,1,2,1,1,0,1
475,2,2,2,1,2,2,2,2,2
476,3,1,2,1,1,1,1,2,1
477,1,1,1,0,1,1,1,1,1
478,3,0,1,1,0,0,0,0,1
479,3,2,1,2,1,2,2,2,2
480,0,2,1,0,2,2,2,2,1
481,0,2,1,1,2,1,1,2,2
482,0,1,0,0,2,1,1,2,0
483,2,0,0,1,1,1,0,0,0
484,1,2,1,2,2,2,2,2,2
485,0,2,1,1,2,2,1,2,1
486,0,1,0,0,0,1,1,1,0
487,3,0,0,1,0,0,1,1,1
488,2,0,1,0,0,0,0,0,0
489,0,1,1,0,1,1,0,1,0
490,1,0,1,0,1,0,0,0,0
491,2,2,2,2,2,2,2,1,2
492,1,2,2,1,2,2,2,1,1
493,3,2,1,2,1,1,2,2,1
494,1,2,2,1,2,2,2,2,2
495,2,0,1,1,0,0,1,0,0
496,0,0,0,0,0,0,0,0,0
497,3,2,2,1,2,2,1,2,2
498,2,1,1,1,0,0,0,2,1
499,2,0,1,1,0,0,0,0,1
500,2,0,0,0,0,1,0,0,0
501,0,0,0,0,0,0,1,0,0
502,2,2,2,2,2,2,2,1,2
503,1,1,2,0,1,1,1,1,1
504,0,1,1,0,0,1,0,1,1
505,0,2,2,1,2,2,1,2,2
506,1,1,0,1,1,1,1,1,1
507,2,2,1,0,2,2,1,2,1
508,2,2,1,1,2,1,2,2,1
509,0,0,1,0,0,1,0,0,0
510,0,0,0,0,0,0,0,0,0
511,1,2,2,1,2,1,2,2,2
512,1,2,2,0,2,2,2,2,1
513,0,2,1,1,1,2,1,2,2
514,0,1,1,1,1,0,0,1,1
515,1,2,2,1,1,2,1,2,2
516,0,1,1,0,1,1,0,0,0
517,0,2,1,1,1,2,2,1,2
518,0,2,2,2,2,2,1,2,1
519,1,1,0,1,1,0,2,1,1
520,1,1,1,0,1,1,1,1,1
521,0,0,0,0,0,1,0,0,0
522,1,2,2,1,1,2,1,1,1
523,3,2,2,2,2,1,2,2,2
524,3,1,1,2,1,1,1,0,2
525,0,1,1,1,0,1,2,1,1
526,1,2,2,1,2,2,1,2,2
527,2,0,1,0,0,1,0,0,1
528,0,1,0,1,1,0,1,0,1
529,2,0,0,0,0,0,0,0,0
530,3,1,1,1,1,0,1,0,1
531,3,1,2,1,1,0,1,1,1
532,0,1,0,0,1,0,1,1,0
533,1,2,2,1,2,2,2,2,2
534,0,2,1,1,2,2,1,1,1
535,2,2,2,2,2,2,2,1,2
536,3,0,2,2,0,0,0,0,2
537,3,1,1,1,1,1,1,1,1
538,3,1,1,1,1,1,1,2,1
539,3,2,1,2,2,2,2,2,2
540,1,0,1,0,0,1,0,0,0
541,3,1,1,2,0,1,2,0,2
542,0,2,1,0,1,2,2,2,1
543,0,2,0,2,2,2,2,2,1
544,1,2,1,1,2,1,2,1,2
545,1,0,0,1,0,0,0,0,1
546,1,1,1,2,1,0,0,1,1
547,1,2,1,2,2,1,1,2,1
548,3,2,1,2,2,1,1,2,2
549,1,2,1,1,2,2,2,2,1
550,1,1,1,0,0,1,1,2,1
551,2,1,2,1,1,2,1,1,1
552,0,1,0,0,0,1,1,1,0
553,3,1,1,1,1,1,0,1,1
554,3,1,2,2,1,1,1,1,1
555,0,2,1,1,2,2,2,2,2
556,2,1,2,1,0,1,1,1,1
557,3,1,2,1,1,1,2,0,1
558,0,0,0,0,0,0,1,0,0
559,0,0,0,0,1,0,0,0,0
560,0,0,0,0,0,0,1,0,0
561,3,2,1,1,2,1,2,2,2
562,1,1,1,1,1,1,0,1,1
563,3,1,2,2,2,1,1,1,2
564,0,0,0,0,0,0,0,1,0
565,2,2,2,1,2,2,2,1,1
566,2,2,1,2,2,2,0,2,1
567,2,1,1,1,0,1,1,0,1
568,2,2,2,2,1,2,1,2,2
569,0,2,1,1,2,2,2,2,1
570,0,1,0,0,1,0,0,1,0
571,2,0,1,1,0,0,0,0,0
572,3,1,1,1,2,1,1,1,1
573,3,0,1,1,1,0,0,0,1
574,3,2,1,2,2,2,1,1,2
575,1,2,2,1,2,2,2,1,1
576,3,0,1,1,1,0,0,0,1
577,0,1,1,0,1,1,1,2,1
578,2,1,1,1,1,1,1,1,1
579,2,0,1,1,0,1,0,0,1
580,2,2,2,1,2,2,1,0,2
581,3,1,2,2,1,1,1,2,2
582,0,1,0,1,1,1,1,1,0
583,3,1,1,1,1,2,2,1,1
584,0,2,0,0,2,2,2,1,1
585,1,2,2,2,1,1,1,0,2
586,0,2,1,1,2,1,1,2,2
587,0,1,0,0,1,1,1,1,0
588,3,1,1,2,1,1,1,1,2
589,1,0,1,0,0,0,1,0,0
590,2,2,2,2,2,2,1,1,1
591,3,0,1,1,0,0,1,0,1
592,3,1,1,2,0,1,1,1,2
593,0,0,0,0,0,0,0,0,0
594,1,1,1,1,1,1,1,1,1
595,3,2,2,2,2,2,1,1,2
596,3,1,1,1,1,1,1,0,2
597,1,0,0,0,0,1,0,0,0
598,0,1,1,0,0,1,2,0,1
599,2,1,2,0,1,1,2,1,1
600,0,0,0,0,0,1,0,0,0
601,3,1,1,0,1,1,0,2,1
602,1,1,0,0,2,1,2,1,0
603,1,0,0,0,0,0,0,0,1
604,2,2,1,2,2,2,1,1,2
605,1,1,1,1,2,1,1,0,0
606,2,0,0,0,0,0,0,0,0
607,3,1,1,1,1,1,1,1,1
608,1,1,1,0,1,1,2,1,1
609,1,1,1,1,1,1,1,2,1
610,1,0,1,0,0,0,0,0,0
611,3,2,2,2,2,1,0,1,2
612,2,1,2,1,1,1,1,1,2
613,1,1,2,0,1,1,1,2,1
614,3,1,1,2,1,1,1,0,2
615,1,1,0,0,2,1,2,0,1
616,1,2,1,1,1,2,2,1,1
617,3,2,1,2,2,2,2,2,2
618,3,1,2,1,2,1,1,1,1
619,2,2,1,2,2,1,1,2,2
620,0,1,0,0,1,1,1,0,0
621,2,1,2,1,1,0,2,1,1
622,1,2,1,1,2,2,2,2,1
623,3,1,2,2,1,0,0,1,2
624,2,0,1,0,0,0,0,0,1
625,2,1,1,1,0,1,1,1,1
626,2,2,2,1,2,1,1,1,2
627,1,0,1,1,0,1,1,1,0
628,1,0,0,0,0,0,0,0,0
629,2,1,1,1,1,1,1,1,1
630,1,1,0,1,1,0,1,0,1
631,3,2,2,2,2,1,2,1,2
632,3,0,1,1,1,0,1,0,1
633,1,0,0,0,0,0,0,0,0
634,2,1,1,1,0,0,1,0,1
635,0,0,0,1,0,0,0,0,0
636,2,1,1,1,1,1,1,0,0
637,0,1,0,0,1,1,1,0,1
638,0,1,0,0,1,1,1,1,1
639,0,1,1,0,1,1,1,1,1
640,0,1,0,1,1,1,1,1,1
641,3,1,1,1,2,1,1,1,1
642,0,1,0,2,0,2,1,1,1
643,3,1,1,2,1,1,1,1,1
644,0,1,1,0,1,1,1,1,1
645,2,0,0,0,0,0,0,1,1
646,3,1,2,1,1,1,1,2,1
647,0,1,0,2,1,1,1,0,1
648,0,1,1,0,0,2,1,1,1
649,1,1,1,1,2,0,2,1,1
650,1,2,2,1,1,1,2,2,2
651,1,2,1,1,2,1,1,1,1
652,0,0,0,0,0,0,0,0,0
653,0,1,1,0,0,2,1,0,0
654,2,1,0,1,1,1,0,2,0
655,0,0,0,0,0,0,0,1,0
656,0,1,0,1,1,1,1,1,1
657,1,1,1,1,1,1,1,2,1
658,0,0,0,0,0,0,0,0,0
659,0,1,1,1,0,1,1,1,1
660,0,0,0,0,0,0,1,0,0
661,1,1,2,1,1,1,1,1,1
662,1,0,0,0,0,0,1,0,0
663,3,0,1,0,1,0,0,1,1
664,2,0,0,0,0,0,0,1,0
665,1,1,0,1,1,1,1,0,1
666,3,0,1,0,0,0,0,0,1
667,0,1,0,1,1,1,1,1,1
668,1,0,1,0,0,1,0,1,1
669,0,1,0,0,1,1,1,1,1
670,1,1,1,1,2,1,0,1,1
671,1,0,0,0,0,0,1,1,0
672,3,1,2,2,1,1,1,1,1
673,1,1,0,0,1,1,0,2,1
674,2,0,1,0,1,0,1,0,0
675,3,2,2,2,2,2,1,1,2
676,0,1,1,0,1,2,1,1,1
677,2,2,2,2,2,2,2,1,2
678,3,1,2,1,1,0,2,2,1
679,1,0,0,0,1,0,0,0,0
680,3,1,1,1,1,1,0,0,1
681,3,1,1,2,1,1,1,1,2
682,0,1,1,1,1,0,1,2,1
683,0,1,1,0,2,0,1,1,1
684,2,1,0,1,1,1,1,1,1
685,1,1,0,0,1,1,1,1,0
686,0,0,0,0,1,0,0,0,0
687,3,2,1,2,2,1,1,1,2
688,0,1,1,0,1,1,1,0,1
689,0,1,0,0,1,1,1,1,0
690,1,2,2,2,2,1,2,1,2
691,1,1,1,1,0,1,1,1,1
692,2,2,1,1,2,2,1,2,1
693,1,0,1,0,0,0,0,0,0
694,1,1,1,2,1,1,1,1,1
695,1,1,1,1,1,1,1,1,1
696,2,0,0,0,0,0,0,0,0
697,3,1,1,2,1,1,1,1,1
