id,split,is_identity
173,train,True
174,train,True
175,train,False
176,test,False
177,test,False
178,test,False
179,train,True
180,test,False
181,train,False
182,train,False
183,train,False
184,train,False
185,train,False
186,train,False
187,train,False
188,train,False
189,train,False
190,train,False
191,train,False
192,train,False
193,train,False
194,train,False
195,train,False
196,test,False
197,test,True
198,train,False
199,test,False
200,train,False
201,train,False
202,train,False
203,train,False
204,train,False
205,train,True
206,train,True
207,train,False
208,test,False
209,test,False
210,train,True
211,train,False
212,train,False
213,test,True
214,train,False
215,train,True
216,train,False
217,train,True
218,train,True
219,train,False
220,train,False
221,train,False
222,train,False
223,train,False
224,train,False
225,train,True
226,test,False
227,train,True
228,train,True
229,train,False
230,train,False
231,train,True
232,train,False
233,train,False
234,train,False
235,train,False
236,test,False
237,train,False
238,train,False
239,test,False
240,train,False
241,train,False
242,test,False
243,test,False
244,train,True
245,train,False
246,train,False
247,train,False
248,train,False
249,train,False
250,train,False
251,test,False
252,test,False
253,train,False
254,train,False
255,train,False
256,train,False
257,train,False
258,test,False
259,train,False
260,test,False
261,train,False
262,train,False
263,train,True
264,train,False
265,train,False
266,train,True
267,test,True
268,train,True
269,train,False
270,train,True
271,train,False
272,train,True
273,train,False
274,train,False
275,test,False
276,train,True
277,train,True
278,test,False
279,test,False
280,train,False
281,train,False
282,train,False
283,test,False
284,train,False
285,train,False
286,train,False
287,train,False
288,train,False
289,train,True
290,train,False
291,train,False
292,train,True
293,train,True
294,train,False
295,train,True
296,train,True
297,test,True
298,train,False
299,train,True
300,train,False
301,test,False
302,train,True
303,train,False
304,train,False
305,train,False
306,train,False
307,train,False
308,train,True
309,train,True
310,train,False
311,test,True
312,train,False
313,train,False
314,train,False
315,train,True
316,train,False
317,train,True
318,train,False
319,train,False
320,train,True
321,train,False
322,train,False
323,train,True
324,train,True
325,train,False
326,train,False
327,test,True
328,train,False
329,train,False
330,train,False
331,train,False
332,train,False
333,train,False
334,train,False
335,test,False
336,train,True
337,train,True
338,test,False
339,train,False
340,train,True
341,train,False
342,train,True
343,train,True
344,test,False
345,test,True
346,train,False
347,train,False
348,train,False
349,train,False
350,train,False
351,train,False
352,train,False
353,train,False
354,train,False
355,test,False
356,train,False
357,train,False
358,test,True
359,test,True
360,train,False
361,train,False
362,train,False
363,train,True
364,train,False
365,train,False
366,train,False
367,train,False
368,test,True
369,train,False
370,train,False
371,train,True
372,test,False
373,train,False
374,test,True
375,test,False
376,test,False
377,train,False
378,test,True
379,train,False
380,train,False
381,train,False
382,train,True
383,train,False
384,train,False
385,train,False
386,train,False
387,train,True
388,train,True
389,train,False
390,train,False
391,train,False
392,train,False
393,train,False
394,train,False
395,train,True
396,test,False
397,test,True
398,test,False
399,train,False
400,train,False
401,train,False
402,test,False
403,train,False
404,train,False
405,train,False
406,train,True
407,test,False
408,train,False
409,train,False
410,test,True
411,train,False
412,train,False
413,train,False
414,test,False
415,test,False
416,train,False
417,train,False
418,train,True
419,train,True
420,test,False
421,train,False
422,train,False
423,train,True
424,test,True
425,train,False
426,train,False
427,train,False
428,test,True
429,train,False
430,train,False
431,train,True
432,train,False
433,train,False
434,train,False
435,train,True
436,train,False
437,test,False
438,train,False
439,train,False
440,train,False
441,test,False
442,train,False
443,test,False
444,train,True
445,test,True
446,train,False
447,test,False
448,train,False
449,train,False
450,train,False
451,test,False
452,train,False
453,train,True
454,train,False
455,test,False
456,train,False
457,train,False
458,train,False
459,test,False
460,train,False
461,train,False
462,train,False
463,test,False
464,train,False
465,train,False
466,test,False
467,train,True
468,test,True
469,train,False
470,train,True
471,train,False
472,test,True
473,test,False
474,train,False
475,test,False
476,test,True
477,train,False
478,train,True
479,train,True
480,train,False
481,train,False
482,train,False
483,train,False
484,train,False
485,train,False
486,train,False
487,train,True
488,train,False
489,test,False
490,test,False
491,train,False
492,train,False
493,train,True
494,train,False
495,train,False
496,test,False
497,train,True
498,train,False
499,train,False
500,train,False
501,train,False
502,train,False
503,train,False
504,train,False
505,train,False
506,train,False
507,test,False
508,train,False
509,train,False
510,train,False
511,train,False
512,test,False
513,test,False
514,train,False
515,test,False
516,train,False
517,train,False
518,train,False
519,train,False
520,train,False
521,train,False
522,train,False
523,train,True
524,train,True
525,test,False
526,train,False
527,train,False
528,train,False
529,train,False
530,test,True
531,train,True
532,test,False
533,train,False
534,train,False
535,test,False
536,train,True
537,train,True
538,train,True
539,test,True
540,train,False
541,train,True
542,train,False
543,train,False
544,train,False
545,train,False
546,train,False
547,train,False
548,train,True
549,test,False
550,train,False
551,train,False
552,train,False
553,train,True
554,test,True
555,test,False
556,train,False
557,train,True
558,train,False
559,train,False
560,train,False
561,train,True
562,train,False
563,train,True
564,train,False
565,train,False
566,test,False
567,test,False
568,train,False
569,train,False
570,train,False
571,train,False
572,train,True
573,test,True
574,train,True
575,train,False
576,test,True
577,train,False
578,train,False
579,train,False
580,train,False
581,train,True
582,test,False
583,train,True
584,test,False
585,test,False
586,train,False
587,train,False
588,test,True
589,train,False
590,test,False
591,train,True
592,train,True
593,train,False
594,train,False
595,test,True
596,train,True
597,train,False
598,train,False
599,train,False
600,train,False
601,train,True
602,train,False
603,train,False
604,test,False
605,train,False
606,train,False
607,train,True
608,train,False
609,test,False
610,train,False
611,train,True
612,test,False
613,train,False
614,train,True
615,train,False
616,test,False
617,test,True
618,train,True
619,train,False
620,test,False
621,train,False
622,train,False
623,train,True
624,train,False
625,train,False
626,train,False
627,test,False
628,train,False
629,train,False
630,train,False
631,train,True
632,train,True
633,train,False
634,train,False
635,test,False
636,train,False
637,test,False
638,train,False
639,train,False
640,test,False
641,train,True
642,train,False
643,train,True
644,test,False
645,train,False
646,test,True
647,train,False
648,test,False
649,train,False
650,train,False
651,train,False
652,test,False
653,train,False
654,train,False
655,train,False
656,train,False
657,test,False
658,train,False
659,test,False
660,train,False
661,test,False
662,train,False
663,train,True
664,test,False
665,train,False
666,train,True
667,train,False
668,test,False
669,train,False
670,train,False
671,train,False
672,train,True
673,test,False
674,test,False
675,train,True
676,train,False
677,train,False
678,train,True
679,train,False
680,train,True
681,train,True
682,train,False
683,train,False
684,train,False
685,train,False
686,train,False
687,train,True
688,train,False
689,train,False
690,train,False
691,test,False
692,test,False
693,train,False
694,train,False
695,train,False
696,test,False
697,test,True
698,train,False
699,train,False
700,train,True
701,train,True
702,train,False
703,test,True
704,train,True
705,train,False
706,train,False
707,test,False
708,train,False
709,train,False
710,train,False
711,train,False
712,train,False
713,train,False
714,train,False
715,test,False
716,train,False
717,test,False
718,train,False
719,train,False
720,train,False
721,train,False
722,train,True
723,train,False
724,train,False
725,train,False
726,train,True
727,train,False
728,test,True
729,train,False
730,train,True
731,train,False
732,train,False
733,test,False
734,train,False
735,test,False
736,test,False
737,train,False
738,train,False
739,train,False
740,train,False
741,train,True
742,test,False
743,train,False
744,train,False
745,train,True
746,train,False
747,test,False
748,test,False
749,test,True
750,train,False
751,test,False
752,train,False
753,train,True
754,train,False
755,train,False
756,train,True
757,train,False
758,test,False
759,test,False
760,train,True
761,train,True
762,test,False
763,test,False
764,test,True
765,train,False
766,train,True
767,train,False
768,train,True
769,test,False
770,train,False
771,train,False
772,test,False
773,train,False
774,train,False
775,train,False
776,train,False
777,train,True
778,train,False
779,train,False
780,test,False
781,train,False
782,train,False
783,train,False
784,train,False
785,train,False
786,test,False
787,train,True
788,test,True
789,test,True
790,train,False
791,train,False
792,train,False
793,train,False
794,test,True
795,train,False
796,train,False
797,train,False
798,train,False
799,train,False
800,train,False
801,test,False
802,train,True
803,train,False
804,train,True
805,train,True
806,test,False
807,train,True
808,test,False
809,train,False
810,train,False
811,test,False
812,train,False
813,train,True
814,train,False
815,train,True
816,train,False
817,train,False
818,train,False
819,train,False
820,train,False
821,test,False
822,train,True
823,train,True
824,test,False
825,train,False
826,train,False
827,train,False
828,train,False
829,test,False
830,train,False
831,train,True
832,train,False
833,train,True
834,train,True
835,train,False
836,train,False
837,train,False
838,test,True
839,train,False
840,train,False
841,train,False
842,train,False
843,train,False
844,train,False
845,train,False
846,train,False
847,train,False
848,test,False
849,train,False
850,test,False
851,train,False
852,train,False
853,train,False
854,train,False
855,test,False
856,train,False
857,train,False
858,train,False
859,train,True
860,train,False
861,train,False
862,train,False
863,train,True
864,test,False
865,train,False
866,train,False
867,train,False
868,train,True
869,train,False
870,test,False
871,train,False
872,train,False
873,train,True
874,train,True
875,train,False
876,train,False
877,train,False
878,train,False
879,train,False
880,test,False
881,train,False
882,train,False
883,train,True
884,train,False
885,test,True
886,test,False
887,train,False
888,train,False
889,test,False
890,train,False
891,train,False
892,train,False
893,train,False
894,train,False
895,train,True
896,train,True
897,train,False
898,train,True
899,train,True
900,train,False
901,train,False
902,test,False
903,train,False
904,train,True
905,train,False
906,train,False
907,train,False
908,train,True
909,train,False
910,train,False
911,train,False
912,train,False
913,train,False
914,train,False
915,train,False
916,train,True
917,test,False
918,train,False
919,train,True
920,train,False
921,train,False
922,train,False
923,train,False
924,train,False
925,train,True
926,test,False
927,train,False
928,train,True
929,train,False
930,train,False
931,train,True
932,train,False
933,train,False
934,train,True
935,train,False
936,train,True
937,train,False
938,train,False
939,train,False
940,train,False
941,train,False
942,test,True
943,train,False
944,test,False
945,test,False
946,train,False
947,train,False
948,train,True
949,train,False
950,train,True
951,train,False
952,train,True
953,train,False
954,train,True
955,train,False
956,train,False
957,train,False
958,train,False
959,test,False
960,train,False
961,train,False
962,train,True
963,train,True
964,train,False
965,train,False
966,train,False
967,train,False
968,train,False
969,train,False
970,train,False
971,test,False
972,train,True
973,train,False
974,train,False
975,test,False
976,train,False
977,train,False
978,train,False
979,train,True
980,train,False
981,train,False
982,test,False
983,train,False
984,test,True
985,train,False
986,train,False
987,test,False
988,train,False
989,train,True
990,train,True
991,train,False
992,train,True
993,train,False
994,train,True
995,train,True
996,test,False
997,train,False
998,train,True
999,train,True
1000,train,False
1001,test,True
1002,train,False
1003,train,True
1004,train,False
1005,train,False
1006,train,False
1007,train,False
1008,train,False
1009,train,False
1010,train,False
1011,train,True
1012,test,False
1013,train,True
1014,test,False
1015,train,False
1016,train,False
1017,train,False
1018,train,False
1019,train,False
1020,train,False
1021,train,False
1022,train,False
1023,train,True
1024,test,False
1025,train,False
1026,train,False
1027,train,False
1028,train,False
1029,train,True
1030,train,False
1031,train,False
1032,train,False
1033,train,True
1034,train,True
1035,train,True
1036,train,False
1037,train,False
1038,train,False
1039,train,False
1040,train,False
1041,train,False
1042,test,False
1043,train,False
1044,test,True
1045,train,False
1046,train,False
1047,train,False
1048,train,False
1049,train,False
1050,train,False
1051,train,False
1052,train,False
1053,test,False
1054,train,False
1055,train,False
1056,train,False
1057,test,False
1058,train,False
1059,train,True
1060,train,False
1061,train,False
1062,train,False
1063,train,False
1064,train,False
1065,train,False
1066,train,False
1067,train,False
1068,test,False
1069,train,False
1070,train,False
1071,train,False
1072,train,True
1073,train,False
1074,train,True
1075,test,False
1076,test,True
1077,train,True
1078,train,False
1079,train,False
1080,train,True
1081,test,True
1082,train,True
1083,train,True
1084,train,True
1085,train,False
1086,train,False
1087,train,False
1088,train,False
1089,train,True
1090,train,False
1091,train,True
1092,test,False
1093,train,False
1094,train,True
1095,train,False
1096,train,False
1097,train,True
1098,train,False
1099,train,False
1100,test,False
1101,train,True
1102,test,True
1103,train,False
1104,train,True
1105,train,False
1106,train,False
1107,train,False
1108,train,True
1109,train,False
1110,test,False
1111,train,False
1112,train,False
1113,test,False
1114,train,False
1115,train,True
1116,train,False
1117,train,False
1118,test,False
1119,test,False
1120,train,False
1121,train,False
1122,train,False
1123,test,False
1124,test,False
1125,train,False
1126,train,False
1127,train,False
1128,train,True
1129,train,False
1130,train,False
1131,train,False
1132,train,False
1133,train,False
1134,train,False
1135,train,False
1136,train,False
1137,train,False
1138,train,False
1139,train,False
1140,test,False
1141,train,False
1142,train,False
1143,train,False
1144,train,True
1145,train,False
1146,test,False
1147,train,True
1148,test,False
1149,train,False
1150,test,True
1151,train,False
1152,train,False
1153,train,True
1154,test,False
1155,train,False
1156,train,False
1157,train,False
1158,test,True
1159,train,False
1160,train,False
1161,train,False
1162,train,False
1163,train,False
1164,test,False
1165,train,False
1166,train,True
1167,train,True
1168,train,True
1169,test,False
1170,train,False
1171,train,False
1172,train,True
1173,train,False
1174,train,False
1175,train,False
1176,train,True
1177,train,False
1178,train,True
1179,train,False
1180,train,False
1181,test,False
1182,train,True
1183,train,False
1184,train,False
1185,train,True
1186,train,False
1187,train,False
1188,train,False
1189,test,True
1190,test,True
1191,train,False
1192,train,False
1193,train,False
1194,train,False
1195,train,True
1196,train,False
1197,train,False
1198,train,False
1199,train,False
1200,train,False
1201,train,False
1202,train,False
1203,train,True
1204,train,False
1205,train,False
1206,train,True
1207,train,False
1208,train,True
1209,train,True
1210,train,False
1211,train,False
1212,test,False
1213,train,False
1214,test,False
1215,train,False
1216,train,False
1217,train,False
1218,train,False
1219,train,True
1220,test,False
1221,train,False
1222,train,False
1223,test,False
1224,test,True
1225,train,False
1226,train,True
1227,train,False
1228,train,True
1229,test,False
1230,train,True
1231,test,False
1232,train,False
1233,test,False
1234,test,False
1235,test,False
1236,train,False
1237,train,False
1238,train,False
1239,train,False
1240,train,False
1241,train,False
1242,train,True
1243,train,False
1244,train,False
1245,train,False
1246,train,False
1247,train,True
1248,train,False
1249,train,False
1250,train,True
1251,train,True
1252,test,False
1253,train,False
1254,train,False
1255,train,False
1256,train,False
1257,train,False
1258,test,False
1259,test,True
1260,train,True
1261,train,False
1262,train,False
1263,train,True
1264,test,False
1265,train,False
1266,train,False
1267,train,True
1268,train,False
1269,train,False
1270,train,False
1271,test,True
1272,train,True
1273,train,False
1274,train,False
1275,test,False
1276,train,False
1277,test,False
1278,train,False
1279,test,False
1280,train,False
1281,train,False
1282,train,True
1283,train,False
1284,test,True
1285,train,False
1286,train,False
1287,train,True
1288,train,False
1289,train,False
1290,train,False
1291,test,False
1292,train,False
1293,test,True
1294,train,False
1295,test,False
1296,train,False
1297,train,True
1298,train,True
1299,train,True
1300,train,True
1301,test,False
1302,test,True
1303,test,False
1304,train,False
1305,train,False
1306,train,False
1307,train,False
1308,train,False
1309,test,False
1310,train,False
1311,test,False
1312,train,True
1313,train,False
1314,train,False
1315,train,True
1316,train,True
1317,train,True
1318,train,False
1319,train,False
1320,train,False
1321,train,True
1322,train,False
1323,train,True
1324,train,True
1325,test,True
1326,train,True
1327,train,False
1328,train,False
1329,train,False
1330,train,True
1331,train,True
1332,train,True
1333,train,True
1334,train,False
1335,train,True
1336,train,False
1337,test,False
1338,train,True
1339,test,False
1340,train,False
1341,train,False
1342,train,False
1343,test,False
1344,test,False
1345,train,False
1346,train,False
1347,test,False
1348,train,False
1349,train,True
1350,train,False
1351,train,False
1352,train,False
1353,train,False
1354,train,False
1355,train,False
1356,train,False
1357,train,False
1358,train,False
1359,train,False
1360,train,True
1361,test,True
1362,train,True
1363,train,False
1364,train,True
1365,train,True
1366,test,False
1367,test,True
1368,train,False
1369,train,True
1370,train,False
1371,train,False
1372,train,False
1373,train,False
1374,train,False
1375,train,True
1376,test,True
1377,test,False
1378,train,True
1379,train,False
1380,test,False
1381,train,False
1382,train,False
1383,train,True
1384,train,True
1385,train,False
1386,test,False
1387,train,True
1388,train,True
1389,train,False
1390,train,False
1391,train,True
1392,train,True
1393,train,False
1394,test,False
1395,train,False
1396,test,False
1397,train,True
1398,test,False
1399,test,False
1400,train,True
1401,train,True
1402,train,True
1403,train,False
1404,test,False
1405,test,True
1406,train,False
1407,train,True
1408,train,False
1409,train,True
1410,train,False
1411,test,True
1412,train,False
1413,train,False
1414,train,False
1415,train,False
1416,train,True
1417,test,True
1418,train,False
1419,train,False
1420,train,False
1421,train,True
1422,train,True
1423,train,False
1424,test,False
1425,train,False
1426,train,False
1427,train,False
1428,train,False
1429,train,True
1430,train,False
1431,train,False
1432,train,False
1433,train,False
1434,test,False
1435,train,False
1436,train,False
1437,train,True
1438,test,True
1439,test,False
1440,train,True
1441,train,True
1442,train,False
1443,test,True
1444,train,False
1445,train,True
1446,train,True
1447,train,False
1448,train,False
1449,test,False
1450,test,False
1451,train,False
1452,train,True
1453,train,False
1454,train,False
1455,train,False
1456,train,False
1457,train,True
1458,train,True
1459,train,False
1460,train,False
1461,train,False
1462,train,False
1463,train,False
1464,train,True
1465,train,False
1466,train,True
1467,test,False
1468,train,False
1469,train,False
1470,train,False
1471,train,False
1472,train,False
1473,train,True
1474,test,False
1475,test,False
1476,train,False
1477,train,True
1478,train,False
1479,train,False
1480,train,False
1481,test,False
1482,train,False
1483,train,False
1484,train,False
1485,test,False
1486,test,False
1487,test,True
1488,train,True
1489,test,False
1490,test,False
1491,train,True
1492,test,False
1493,test,True
1494,train,True
1495,train,False
1496,train,False
1497,train,False
1498,train,True
1499,train,False
1500,test,True
1501,train,False
1502,train,False
1503,train,False
1504,train,True
1505,train,False
1506,train,False
1507,train,False
1508,test,False
1509,test,False
1510,train,True
1511,train,False
1512,train,False
1513,train,False
1514,test,True
1515,train,False
1516,train,False
1517,test,False
1518,test,True
1519,train,False
1520,train,False
1521,train,False
1522,train,True
1523,train,False
1524,train,False
1525,train,False
1526,test,False
1527,train,False
1528,train,True
1529,train,False
1530,train,False
1531,train,False
1532,train,False
1533,train,False
1534,train,True
1535,train,False
1536,train,True
1537,train,True
1538,train,False
1539,test,False
1540,train,True
1541,train,True
1542,train,False
1543,train,False
1544,train,True
1545,train,False
1546,train,True
1547,train,False
1548,train,False
1549,train,False
1550,train,False
1551,train,False
1552,train,False
1553,train,True
1554,train,True
1555,train,False
1556,train,True
1557,train,True
1558,train,False
1559,train,True
1560,train,True
1561,train,False
1562,train,False
1563,train,False
1564,train,False
1565,test,True
1566,test,False
1567,train,False
1568,train,True
1569,train,False
1570,train,True
1571,train,False
1572,train,False
1573,train,True
1574,train,False
1575,train,True
1576,test,True
1577,train,False
1578,test,False
1579,train,False
1580,train,False
1581,test,False
1582,train,False
1583,train,False
1584,train,False
1585,train,False
1586,train,True
1587,test,False
1588,train,False
1589,train,True
1590,train,True
1591,train,False
1592,train,False
1593,train,False
1594,train,False
1595,train,False
1596,test,True
1597,train,True
1598,train,True
1599,train,True
1600,train,True
1601,train,False
1602,train,False
1603,train,False
1604,train,False
1605,train,True
1606,train,False
1607,test,False
1608,train,True
1609,train,False
1610,train,False
1611,train,False
1612,train,False
1613,train,False
1614,test,True
1615,train,False
1616,train,True
1617,train,False
1618,test,False
1619,train,False
1620,train,False
1621,test,True
1622,train,True
1623,train,False
1624,train,False
1625,train,False
1626,train,True
1627,train,True
1628,train,False
1629,train,False
1630,train,False
1631,train,False
1632,train,False
1633,train,False
1634,train,False
1635,test,False
1636,train,False
1637,train,False
1638,train,False
1639,train,False
1640,train,False
1641,train,False
1642,train,False
1643,train,False
1644,train,True
1645,train,True
1646,train,False
1647,train,False
1648,train,False
1649,train,True
1650,train,False
1651,train,False
1652,train,False
1653,train,False
1654,train,False
1655,train,False
1656,train,False
1657,train,False
1658,train,False
1659,train,False
1660,train,False
1661,train,False
1662,train,False
1663,train,False
1664,test,True
1665,train,False
1666,train,False
1667,train,False
1668,train,True
1669,train,True
1670,train,True
1671,test,True
1672,train,True
1673,train,False
1674,train,False
1675,train,False
1676,train,False
1677,train,True
1678,train,False
1679,train,True
1680,train,False
1681,train,False
1682,train,False
1683,train,False
1684,test,False
1685,train,False
1686,train,False
1687,train,False
1688,train,False
1689,train,False
1690,train,False
1691,train,True
1692,train,False
1693,test,True
1694,train,True
1695,train,False
1696,train,True
1697,test,False
1698,train,False
1699,train,False
1700,train,False
1701,test,False
1702,train,True
1703,train,False
1704,test,False
1705,train,True
1706,train,False
1707,train,True
1708,train,False
1709,train,False
1710,test,False
1711,test,False
1712,train,False
1713,train,True
1714,train,False
1715,train,True
1716,train,False
1717,train,False
1718,train,False
1719,train,True
1720,test,False
1721,train,True
1722,train,False
1723,train,False
1724,train,False
1725,train,False
1726,train,False
1727,train,False
1728,train,False
1729,test,False
1730,train,False
1731,train,False
1732,train,False
1733,train,False
1734,train,False
1735,test,True
1736,train,True
1737,train,False
1738,train,True
1739,train,True
1740,train,False
1741,test,True
1742,train,False
1743,train,True
1744,train,True
1745,train,False
1746,train,False
1747,test,False
1748,train,False
1749,train,False
1750,train,False
1751,train,True
1752,train,True
1753,train,True
1754,train,False
1755,train,True
1756,train,False
1757,train,False
1758,test,False
1759,test,False
1760,train,False
1761,train,False
1762,train,False
1763,train,False
1764,train,False
1765,train,True
1766,test,False
1767,test,False
1768,train,False
1769,train,True
1770,train,False
1771,train,False
1772,train,False
1773,train,False
1774,train,True
1775,train,True
1776,train,True
1777,test,True
1778,train,True
1779,train,True
1780,train,True
1781,test,False
1782,train,True
1783,train,True
1784,train,False
1785,test,True
1786,train,True
1787,test,True
1788,test,False
1789,train,True
1790,train,False
1791,train,True
1792,test,False
1793,train,True
1794,test,False
1795,train,True
1796,test,True
1797,train,False
1798,train,False
1799,train,False
1800,train,False
1801,train,True
1802,train,False
1803,test,False
1804,test,False
1805,test,True
1806,train,False
1807,train,False
1808,train,True
1809,test,False
1810,train,False
1811,test,False
1812,test,False
1813,train,False
1814,train,True
1815,train,True
1816,test,False
1817,train,False
1818,train,True
1819,train,True
1820,train,True
1821,train,True
1822,train,False
1823,test,False
1824,test,False
1825,train,True
1826,train,False
1827,train,False
1828,train,True
1829,train,True
1830,train,False
1831,train,True
1832,test,False
1833,train,False
1834,train,False
1835,train,False
1836,train,False
1837,train,False
1838,train,True
1839,train,True
1840,train,False
1841,train,False
1842,train,False
1843,train,True
1844,train,True
1845,train,False
1846,test,False
1847,train,False
1848,train,False
1849,train,True
1850,test,False
1851,train,False
1852,train,False
1853,test,False
1854,train,False
1855,test,False
1856,train,True
1857,train,False
1858,train,False
1859,train,True
1860,train,False
1861,train,False
1862,train,True
1863,train,True
1864,train,True
1865,train,False
1866,train,True
1867,train,True
1868,test,True
1869,train,False
1870,train,False
1871,test,True
1872,train,False
1873,train,True
1874,train,False
1875,train,True
1876,train,False
1877,train,False
1878,train,True
1879,train,False
1880,test,False
1881,train,False
1882,train,False
1883,train,False
1884,train,True
1885,train,True
1886,test,False
1887,test,False
1888,test,False
1889,train,False
1890,train,False
1891,test,True
1892,train,False
1893,test,False
1894,test,True
1895,test,False
1896,train,False
1897,train,False
1898,train,False
1899,train,False
1900,train,False
1901,train,True
1902,train,True
1903,train,False
1904,test,True
1905,train,False
1906,train,True
1907,test,True
1908,test,False
1909,train,False
1910,train,False
1911,train,False
1912,test,False
1913,train,True
1914,train,False
1915,train,False
1916,train,False
1917,test,True
1918,train,False
1919,train,False
1920,train,False
1921,train,False
1922,train,True
1923,train,False
1924,test,False
1925,test,False
1926,train,True
1927,train,False
1928,test,False
1929,test,False
1930,train,True
1931,train,False
1932,train,False
1933,test,False
1934,train,False
1935,train,False
1936,train,True
1937,train,False
1938,test,False
1939,test,False
1940,train,False
1941,train,False
1942,train,True
1943,test,False
1944,train,True
1945,train,False
1946,train,False
1947,train,False
1948,train,False
1949,train,False
1950,train,False
1951,train,False
1952,test,False
1953,train,False
1954,train,False
1955,train,False
1956,train,True
1957,train,False
1958,train,False
1959,train,True
1960,test,False
1961,train,False
1962,train,False
1963,train,False
1964,train,False
1965,train,False
1966,train,True
1967,train,False
1968,train,False
1969,train,False
1970,train,False
1971,train,False
1972,train,False
1973,train,False
1974,train,False
1975,train,False
1976,train,False
1977,train,True
1978,train,True
1979,train,False
1980,train,False
1981,test,False
1982,train,False
1983,train,False
1984,train,False
1985,train,True
1986,train,False
1987,test,False
1988,train,False
1989,train,False
1990,train,False
1991,train,False
1992,train,False
1993,train,False
1994,train,True
1995,test,False
1996,train,False
1997,test,False
1998,test,True
1999,train,True
2000,train,True
2001,train,False
2002,train,False
2003,train,False
2004,test,True
2005,train,False
2006,train,False
2007,train,False
2008,train,False
2009,train,True
2010,train,False
2011,test,False
2012,test,False
2013,train,True
2014,train,False
2015,train,False
2016,train,False
2017,train,False
2018,train,False
2019,test,False
2020,test,False
2021,train,False
2022,train,False
2023,train,False
2024,train,True
2025,test,False
2026,train,False
2027,train,False
2028,train,False
2029,test,False
2030,train,False
2031,train,False
2032,test,False
2033,train,False
2034,train,False
2035,train,False
2036,train,False
2037,train,False
2038,train,True
2039,train,False
2040,train,False
2041,train,False
2042,train,False
2043,test,False
2044,train,True
2045,train,False
2046,test,False
2047,train,False
2048,train,False
2049,train,False
2050,train,True
2051,test,True
2052,train,False
2053,train,False
2054,train,False
2055,train,False
2056,train,True
2057,train,False
2058,train,False
2059,train,False
2060,train,False
2061,train,False
2062,test,True
2063,test,True
2064,train,False
2065,train,False
2066,train,True
2067,train,False
2068,test,False
2069,test,True
2070,train,False
2071,train,True
2072,train,False
2073,train,False
2074,train,False
2075,test,True
2076,train,True
2077,test,False
2078,train,True
2079,train,False
2080,train,False
2081,test,False
2082,train,False
2083,test,False
2084,test,False
2085,train,False
2086,train,True
2087,test,False
2088,test,False
2089,train,False
2090,train,True
2091,train,False
2092,test,False
2093,train,False
2094,train,True
2095,test,True
2096,train,False
2097,train,False
2098,train,False
2099,train,False
2100,train,False
2101,test,False
2102,train,True
2103,test,True
2104,train,True
2105,train,False
2106,train,True
2107,train,False
2108,train,False
2109,train,False
2110,train,True
2111,train,False
2112,test,False
2113,train,True
2114,train,False
2115,train,False
2116,train,False
2117,train,True
2118,train,False
2119,train,False
2120,test,False
2121,train,False
2122,train,False
2123,train,False
2124,test,False
2125,train,False
2126,train,True
2127,train,False
2128,train,False
2129,train,True
2130,train,False
2131,train,True
2132,train,False
2133,train,True
2134,train,False
2135,test,False
2136,train,False
2137,train,False
2138,train,False
2139,train,False
2140,test,False
