id,X,T,D,U,P,L,H,A,Y
309,3,1,2,2,1,0,1,2,1
310,3,1,1,1,1,1,1,2,1
311,3,1,2,1,1,1,1,1,2
312,3,1,1,1,1,1,1,1,1
313,3,2,2,2,2,2,2,2,2
314,3,1,2,2,1,1,1,0,2
315,3,1,2,1,1,0,1,1,1
316,3,0,1,0,0,0,0,0,1
317,3,1,2,1,2,1,0,0,1
318,3,2,1,2,2,1,2,1,2
319,3,1,1,2,1,1,2,1,2
320,3,1,1,1,1,1,0,1,2
321,3,1,1,2,0,1,1,1,1
322,3,0,0,1,0,0,0,0,1
323,3,1,2,1,2,2,1,1,1
324,3,0,1,1,0,1,0,0,1
325,3,0,0,1,0,1,0,0,1
326,3,1,1,1,1,1,1,1,1
327,3,0,1,1,1,0,0,0,1
328,3,0,0,0,0,0,1,0,0
329,3,1,2,1,1,2,1,1,1
330,3,1,2,1,1,1,1,1,2
331,3,1,1,1,0,1,1,1,1
332,3,0,1,1,0,1,0,1,1
333,3,0,1,1,0,0,0,1,1
334,3,0,0,1,1,0,0,1,0
335,3,0,0,2,0,1,0,1,1
336,3,1,2,2,1,0,1,2,1
337,3,0,1,2,0,0,1,0,1
338,3,1,0,1,1,1,1,1,1
339,3,2,2,2,2,1,1,1,2
340,3,2,2,2,2,2,2,2,2
341,3,2,2,2,2,2,2,2,2
342,3,2,2,2,2,1,2,1,2
343,3,1,1,2,1,1,1,1,1
344,3,1,0,2,0,1,1,1,1
345,3,0,1,1,0,0,0,0,1
346,3,1,2,1,2,1,0,0,1
347,3,0,0,0,1,0,0,0,0
348,3,1,1,1,1,0,1,1,1
349,3,1,1,2,1,1,1,1,2
350,3,2,2,2,2,1,2,2,2
351,3,2,2,2,2,2,2,2,2
352,3,1,2,1,1,1,0,0,2
353,3,1,1,2,1,1,1,1,2
354,3,1,2,2,2,1,0,1,2
355,3,0,1,2,0,1,0,0,1
356,3,0,1,2,0,0,0,0,1
357,3,1,1,1,1,0,1,1,1
358,3,1,2,1,1,1,1,0,1
359,3,1,1,1,1,1,1,1,1
360,3,2,1,2,2,1,2,1,2
361,3,0,1,1,1,0,1,0,1
362,3,2,1,2,1,2,1,1,2
363,3,0,0,1,0,1,0,0,0
364,3,2,2,2,2,2,2,1,2
365,3,0,1,1,0,1,0,1,1
366,3,1,1,1,0,0,1,1,1
367,3,1,1,2,1,1,1,0,2
368,3,0,1,0,1,0,0,0,0
369,3,0,1,1,0,0,0,0,0
370,3,1,1,1,1,0,1,1,2
371,3,1,1,1,2,1,1,1,1
372,3,2,2,2,2,2,2,1,2
373,3,1,1,2,1,1,1,1,1
374,3,1,1,2,1,0,1,1,2
375,3,2,2,2,2,2,2,1,2
376,3,0,1,1,0,0,0,0,1
377,3,1,1,0,1,1,1,1,1
378,3,2,1,2,2,2,2,2,2
379,3,1,2,2,1,1,0,2,2
380,3,0,1,1,0,0,1,0,1
381,3,1,1,2,1,1,1,1,2
382,3,1,2,2,1,2,1,1,2
383,3,2,2,1,1,1,2,2,2
384,3,2,2,2,2,2,2,2,2
385,3,1,2,2,1,1,2,0,2
386,3,2,2,2,1,1,1,1,2
387,3,0,0,2,0,0,1,0,1
388,3,2,1,2,2,1,1,2,2
389,3,0,1,1,0,0,0,0,1
390,3,1,1,2,1,2,1,1,1
391,3,1,1,2,1,1,0,0,1
392,3,2,1,2,2,2,1,1,2
393,3,1,2,2,1,1,1,1,1
394,3,1,1,1,1,1,1,1,1
395,3,1,2,1,1,2,1,1,2
396,3,1,1,1,1,1,0,1,1
397,3,1,0,1,1,1,0,1,1
398,3,2,2,2,2,1,2,1,2
399,3,1,2,1,1,1,1,1,1
400,3,1,1,1,1,0,1,1,1
401,3,2,2,2,2,2,2,2,2
402,3,2,2,2,1,2,2,2,2
403,3,1,2,2,0,1,1,1,1
404,3,1,2,1,0,1,1,2,1
405,3,0,0,1,0,0,1,0,1
406,3,1,2,2,1,1,0,0,2
407,3,1,1,2,1,1,1,2,1
408,3,0,1,1,0,0,0,0,1
409,3,2,2,2,1,2,2,2,2
410,3,1,2,1,1,1,1,0,2
411,3,0,0,1,0,0,0,0,1
412,3,0,1,1,0,0,0,1,1
413,3,0,1,1,0,0,0,0,1
414,3,0,1,1,0,0,1,0,1
415,3,1,1,2,1,0,0,0,1
416,3,0,1,1,0,0,0,0,1
417,3,1,2,1,2,1,1,1,1
418,3,1,2,2,1,2,1,1,1
419,3,1,0,1,1,1,1,1,1
420,3,1,0,2,0,1,1,0,2
421,3,1,0,2,1,1,2,1,2
422,3,1,1,2,1,1,1,0,2
423,3,1,1,1,2,1,1,1,1
424,3,2,2,2,2,2,2,1,2
425,3,1,1,2,1,0,0,0,2
426,3,0,1,1,0,0,0,0,1
427,3,0,1,1,0,0,0,0,1
428,3,1,1,1,1,1,1,1,1
429,3,2,2,2,2,2,2,1,2
430,3,1,0,1,1,0,1,1,1
431,3,1,1,1,1,1,1,1,1
432,3,2,2,2,2,1,2,1,2
433,3,0,0,1,0,0,0,1,0
434,3,2,2,1,1,2,2,2,2
435,3,0,0,2,1,0,0,0,1
436,3,1,1,1,1,0,1,1,2
437,3,1,1,1,1,1,1,1,2
438,3,0,1,1,0,1,0,0,1
439,3,1,2,2,1,2,1,0,2
440,3,0,0,1,0,0,0,0,1
441,3,0,0,1,0,0,0,0,1
442,3,1,2,2,1,1,1,0,2
443,3,2,2,2,2,2,2,2,2
444,3,1,2,1,1,1,2,0,1
445,3,2,2,2,2,2,2,2,2
446,3,2,2,2,2,2,2,2,2
447,3,1,1,2,1,1,0,1,2
448,3,1,2,0,1,1,2,1,1
449,3,2,2,2,1,1,1,2,2
450,3,0,1,1,0,0,0,0,1
451,3,0,1,1,0,0,0,0,1
452,3,1,1,2,1,0,1,1,2
453,3,2,2,2,2,2,2,2,2
454,3,1,0,2,1,1,1,2,1
455,3,1,1,2,1,1,0,1,2
456,3,0,1,2,1,0,1,0,1
457,3,0,1,0,0,0,1,0,0
458,3,1,1,2,1,1,1,1,1
459,3,0,1,0,0,0,0,0,1
460,3,0,0,0,1,1,0,0,0
461,3,2,2,2,2,2,1,1,2
462,3,2,2,1,1,2,2,1,2
463,3,0,0,1,0,1,0,0,0
464,3,1,1,2,1,1,1,0,2
465,3,0,1,1,0,0,0,0,0
466,3,1,2,1,1,1,1,1,2
467,3,0,1,0,0,1,0,0,1
468,3,1,1,1,2,1,1,0,1
469,3,1,1,1,1,1,1,1,1
470,3,1,1,2,1,0,1,1,2
471,3,0,1,1,1,0,1,0,1
472,3,2,2,2,2,2,2,1,2
473,3,2,2,2,2,1,2,2,2
474,3,1,2,2,2,1,1,0,1
475,3,2,2,1,2,2,2,2,2
476,3,1,2,1,1,1,1,2,1
477,3,1,1,1,1,1,1,1,1
478,3,0,1,1,0,0,0,0,1
479,3,2,1,2,1,2,2,2,2
480,3,2,2,1,2,2,2,2,2
481,3,2,2,2,2,1,1,2,2
482,3,1,1,1,2,1,1,2,1
483,3,0,0,2,1,1,0,0,1
484,3,2,2,2,2,2,2,2,2
485,3,2,2,2,2,2,1,2,2
486,3,1,1,2,0,1,1,1,1
487,3,0,0,1,0,0,1,1,1
488,3,0,1,1,0,0,0,0,1
489,3,1,2,1,1,1,0,1,1
490,3,0,1,0,1,0,0,0,1
491,3,2,2,2,2,2,2,1,2
492,3,2,2,1,2,2,2,1,1
493,3,2,1,2,1,1,2,2,1
494,3,2,2,1,2,2,2,2,2
495,3,0,1,1,0,0,1,0,0
496,3,0,1,1,0,0,0,0,1
497,3,2,2,1,2,2,1,2,2
498,3,1,1,2,0,0,0,2,2
499,3,0,1,1,0,0,0,0,1
500,3,0,0,1,0,1,0,0,1
501,3,0,0,0,0,0,1,0,1
502,3,2,2,2,2,2,2,1,2
503,3,1,2,1,1,1,1,1,1
504,3,1,2,1,0,1,0,1,2
505,3,2,2,2,2,2,1,2,2
506,3,1,1,2,1,1,1,1,2
507,3,2,2,1,2,2,1,2,2
508,3,2,2,2,2,1,2,2,2
509,3,0,2,0,0,1,0,0,1
510,3,0,1,1,0,0,0,0,1
511,3,2,2,1,2,1,2,2,2
512,3,2,2,1,2,2,2,2,2
513,3,2,2,2,1,2,1,2,2
514,3,1,2,2,1,0,0,1,2
515,3,2,2,1,1,2,1,2,2
516,3,1,2,1,1,1,0,0,1
517,3,2,2,2,1,2,2,1,2
518,3,2,2,2,2,2,1,2,1
519,3,1,1,2,1,0,2,1,1
520,3,1,1,0,1,1,1,1,1
521,3,0,1,1,0,1,0,0,1
522,3,2,2,2,1,2,1,1,2
523,3,2,2,2,2,1,2,2,2
524,3,1,1,2,1,1,1,0,2
525,3,1,1,2,0,1,2,1,1
526,3,2,2,2,2,2,1,2,2
527,3,0,1,1,0,1,0,0,1
528,3,1,1,2,1,0,1,0,2
529,3,0,0,0,0,0,0,0,0
530,3,1,1,1,1,0,1,0,1
531,3,1,2,1,1,0,1,1,1
532,3,1,0,1,1,0,1,1,1
533,3,2,2,2,2,2,2,2,2
534,3,2,2,2,2,2,1,1,2
535,3,2,2,2,2,2,2,1,2
536,3,0,2,2,0,0,0,0,2
537,3,1,1,1,1,1,1,1,1
538,3,1,1,1,1,1,1,2,1
539,3,2,1,2,2,2,2,2,2
540,3,0,2,1,0,1,0,0,1
541,3,1,1,2,0,1,2,0,2
542,3,2,2,1,1,2,2,2,2
543,3,2,1,2,2,2,2,2,2
544,3,2,2,1,2,1,2,1,2
545,3,0,1,1,0,0,0,0,1
546,3,1,2,2,1,0,0,1,2
547,3,2,2,2,2,1,1,2,2
548,3,2,1,2,2,1,1,2,2
549,3,2,2,1,2,2,2,2,2
550,3,1,1,1,0,1,1,2,1
551,3,1,2,1,1,2,1,1,1
552,3,1,1,1,0,1,1,1,1
553,3,1,1,1,1,1,0,1,1
554,3,1,2,2,1,1,1,1,1
555,3,2,2,2,2,2,2,2,2
556,3,1,2,1,0,1,1,1,1
557,3,1,2,1,1,1,2,0,1
558,3,0,1,1,0,0,1,0,0
559,3,0,1,1,1,0,0,0,0
560,3,0,1,0,0,0,1,0,0
561,3,2,1,1,2,1,2,2,2
562,3,1,2,2,1,1,0,1,2
563,3,1,2,2,2,1,1,1,2
564,3,0,1,1,0,0,0,1,1
565,3,2,2,1,2,2,2,1,2
566,3,2,2,2,2,2,0,2,2
567,3,1,1,2,0,1,1,0,1
568,3,2,2,2,1,2,1,2,2
569,3,2,2,2,2,2,2,2,2
570,3,1,1,1,1,0,0,1,1
571,3,0,1,2,0,0,0,0,1
572,3,1,1,1,2,1,1,1,1
573,3,0,1,1,1,0,0,0,1
574,3,2,1,2,2,2,1,1,2
575,3,2,2,2,2,2,2,1,2
576,3,0,1,1,1,0,0,0,1
577,3,1,2,1,1,1,1,2,1
578,3,1,1,2,1,1,1,1,1
579,3,0,1,1,0,1,0,0,2
580,3,2,2,2,2,2,1,0,2
581,3,1,2,2,1,1,1,2,2
582,3,1,1,2,1,1,1,1,1
583,3,1,1,1,1,2,2,1,1
584,3,2,1,1,2,2,2,1,2
585,3,2,2,2,1,1,1,0,2
586,3,2,2,2,2,1,1,2,2
587,3,1,1,1,1,1,1,1,1
588,3,1,1,2,1,1,1,1,2
589,3,0,1,1,0,0,1,0,1
590,3,2,2,2,2,2,1,1,1
591,3,0,1,1,0,0,1,0,1
592,3,1,1,2,0,1,1,1,2
593,3,0,0,0,0,0,0,0,1
594,3,1,2,1,1,1,1,1,2
595,3,2,2,2,2,2,1,1,2
596,3,1,1,1,1,1,1,0,2
597,3,0,1,1,0,1,0,0,1
598,3,1,2,1,0,1,2,0,1
599,3,1,2,0,1,1,2,1,1
600,3,0,0,1,0,1,0,0,1
601,3,1,1,0,1,1,0,2,1
602,3,1,1,1,2,1,2,1,1
603,3,0,0,1,0,0,0,0,1
604,3,2,1,2,2,2,1,1,2
605,3,1,1,1,2,1,1,0,1
606,3,0,1,1,0,0,0,0,1
607,3,1,1,1,1,1,1,1,1
608,3,1,1,0,1,1,2,1,2
609,3,1,1,1,1,1,1,2,1
610,3,0,2,1,0,0,0,0,1
611,3,2,2,2,2,1,0,1,2
612,3,1,2,1,1,1,1,1,2
613,3,1,2,1,1,1,1,2,2
614,3,1,1,2,1,1,1,0,2
615,3,1,1,1,2,1,2,0,1
616,3,2,2,2,1,2,2,1,2
617,3,2,1,2,2,2,2,2,2
618,3,1,2,1,2,1,1,1,1
619,3,2,1,2,2,1,1,2,2
620,3,1,1,1,1,1,1,0,1
621,3,1,2,1,1,0,2,1,1
622,3,2,2,2,2,2,2,2,2
623,3,1,2,2,1,0,0,1,2
624,3,0,1,0,0,0,0,0,1
625,3,1,1,1,0,1,1,1,2
626,3,2,2,2,2,1,1,1,2
627,3,0,1,1,0,1,1,1,1
628,3,0,1,1,0,0,0,0,1
629,3,1,1,2,1,1,1,1,2
630,3,1,1,2,1,0,1,0,1
631,3,2,2,2,2,1,2,1,2
632,3,0,1,1,1,0,1,0,1
633,3,0,1,1,0,0,0,0,1
634,3,1,1,2,0,0,1,0,1
635,3,0,1,2,0,0,0,0,1
636,3,1,2,1,1,1,1,0,1
637,3,1,1,1,1,1,1,0,2
638,3,1,1,1,1,1,1,1,2
639,3,1,2,1,1,1,1,1,2
640,3,1,1,2,1,1,1,1,1
641,3,1,1,1,2,1,1,1,1
642,3,1,1,2,0,2,1,1,2
643,3,1,1,2,1,1,1,1,1
644,3,1,2,0,1,1,1,1,1
645,3,0,0,1,0,0,0,1,1
646,3,1,2,1,1,1,1,2,1
647,3,1,1,2,1,1,1,0,2
648,3,1,2,1,0,2,1,1,1
649,3,1,1,2,2,0,2,1,1
650,3,2,2,2,1,1,2,2,2
651,3,2,2,2,2,1,1,1,2
652,3,0,1,1,0,0,0,0,1
653,3,1,2,1,0,2,1,0,1
654,3,1,1,1,1,1,0,2,1
655,3,0,1,2,0,0,0,1,1
656,3,1,1,2,1,1,1,1,2
657,3,1,2,1,1,1,1,2,1
658,3,0,0,1,0,0,0,0,0
659,3,1,2,2,0,1,1,1,2
660,3,0,1,1,0,0,1,0,1
661,3,1,2,2,1,1,1,1,1
662,3,0,0,1,0,0,1,0,1
663,3,0,1,0,1,0,0,1,1
664,3,0,0,0,0,0,0,1,1
665,3,1,1,1,1,1,1,0,1
666,3,0,1,0,0,0,0,0,1
667,3,1,1,2,1,1,1,1,2
668,3,0,1,1,0,1,0,1,1
669,3,1,1,1,1,1,1,1,2
670,3,1,1,2,2,1,0,1,1
671,3,0,1,1,0,0,1,1,0
672,3,1,2,2,1,1,1,1,1
673,3,1,1,1,1,1,0,2,1
674,3,0,1,0,1,0,1,0,0
675,3,2,2,2,2,2,1,1,2
676,3,1,2,1,1,2,1,1,2
677,3,2,2,2,2,2,2,1,2
678,3,1,2,1,1,0,2,2,1
679,3,0,0,1,1,0,0,0,0
680,3,1,1,1,1,1,0,0,1
681,3,1,1,2,1,1,1,1,2
682,3,1,2,2,1,0,1,2,2
683,3,1,1,1,2,0,1,1,1
684,3,1,0,1,1,1,1,1,1
685,3,1,0,1,1,1,1,1,1
686,3,0,1,0,1,0,0,0,1
687,3,2,1,2,2,1,1,1,2
688,3,1,2,1,1,1,1,0,2
689,3,1,1,1,1,1,1,1,1
690,3,2,2,2,2,1,2,1,2
691,3,1,2,2,0,1,1,1,2
692,3,2,1,2,2,2,1,2,2
693,3,0,1,1,0,0,0,0,1
694,3,1,2,2,1,1,1,1,1
695,3,1,2,1,1,1,1,1,1
696,3,0,0,1,0,0,0,0,0
697,3,1,1,2,1,1,1,1,1
